relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"Chicken Little (2005) [tmdbid-9982]/Chicken Little (2005) - (Catala Spanish English) BDrip 1080p x264-AC3 by Hakyra (totsrucs).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Català [AC-3 5.1 640Kbps][Blu-ray][Hakyra Rip]); AC3 5.1 (Castellano [AC-3 5.1 640Kbps][Blu-ray][Hakyra Rip]); AC3 5.1 (English [AC-3 5.1 640Kbps][BDRip][Hakyra Rip])",4855s,12983kbps,23.98,7.34 GB
"Chip y Chop: Los guardianes rescatadores (2022) [tmdbid-420821]/Chip y Chop: Los guardianes rescatadores (2022) - (Spanish English Subs) MicroHD 1080p x264-AC3 by La Corporacion.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Chip Y Chop Los Guardianes Rescatadores (2022) MicroHD 1080 - La Corporacion); AC3 5.1 (Chip Y Chop Los Guardianes Rescatadores (2022) MicroHD 1080 - La Corporacion)",5806s,7964kbps,24.00,5.38 GB
"Ciudad de Dios (2002) [tmdbid-598]/Ciudad de Dios (2002) - (Spanish Portuguese Subs) BDrip 1080p x264-AC3 by PacBue (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (spa); AC3 2.0 (por)",7768s,8055kbps,23.98,7.28 GB
"Ciudadanos soberanos (2025) [tmdbid-1130022]/Ciudadanos soberanos (2025) - (Spanish English Subs) WEB-DL 1080p x264-EAC3 by xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,720p,"EAC3 5.1 (stream 1); EAC3 5.1 (qaa)",5821s,3239kbps,25.00,2.20 GB
"Civil War (2024) [tmdbid-929590]/Civil War (2024) - (Spanish English Subs) BDRip 1080p x264-EAC3 AC3 by enjoy (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Castellano); AC3 5.1 (Ingles)",6540s,6824kbps,23.98,5.20 GB
"Climax (2018) [tmdbid-507076]/Climax (2018) - (French SpanishSub EnglishSub) (Sofia Boutella, Romain Guillermic) FR V O 1h36m.mkv",H264,High,8-bit,SDR,720p,"DTS 5.1 (fre)",5790s,6482kbps,23.98,4.37 GB
"Close (2022) [tmdbid-901563]/Close (2022) - BDRip 1080p x265 AC3 Castellano Francés Sub Spanish English.mkv",HEVC,Main,8-bit,SDR,720p,"AC3 5.1 (Surround); AC3 5.1 (Surround)",6240s,4354kbps,24.00,3.16 GB
"Cloud (2024) [tmdbid-1244244]/Cloud (2024) - (Spanish Japanese Subs) WEB-DL 1080p x264-AC3 by napoleon21-diavliyo-xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (stream 2)",7143s,6974kbps,25.00,5.80 GB
"Coco (2017) [tmdbid-354912]/Coco (2017) - (Latino English Subs) BDRip 1080p x264-AC3 by Noxodas.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Spanish); AC3 5.1 (English); AAC 5.1 (English)",6302s,3367kbps,23.98,2.47 GB
"Colegas en el bosque (2006) [tmdbid-7484]/Colegas en el bosque (2006) - (Spanish) BDRip 1080p x264-AC3 by toni32.mkv",H264,Main,8-bit,SDR,1080p,"AAC 2.0 (Castellano DTS 5.1 [www.newpct.com][toni32])",5175s,6487kbps,23.98,3.91 GB
"Colegas en el bosque 2 (2008) [tmdbid-13690]/Colegas en el bosque 2 (2008) - (Spanish) BDRip 1080p x264-AC3 by toni32.mkv",H264,Main,8-bit,SDR,1080p,"AC3 5.1 (Castellano AC3 5.1 [www.newpct.com][toni32])",4585s,7850kbps,23.98,4.19 GB
"Colegas en el bosque 3 (2010) [tmdbid-51170]/Colegas en el bosque 3 (2010) - (Spanish) BDRip 1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (eng)",4476s,8480kbps,23.98,4.42 GB
"Cómo enamorar a una chica punk (2017) [tmdbid-341689]/Cómo enamorar a una chica punk (2017) - .mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (spa); AC3 5.1 (eng)",6161s,5961kbps,23.98,4.28 GB
